diagnosis,count,teşhis,description,department
pelvic inflammatory disease,593,pelvik inflamatuar hastalık,"Kadın üreme organlarının iltihaplanmasıdır. Genellikle bakteriyel enfeksiyonlar sonucu ortaya çıkar ve karın ağrısı, ateş ve vajinal akıntı gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
dry eye of unknown cause,584,kuru göz,"Gözyaşı bezlerinin yetersiz çalışması sonucu gözlerde kuruluk hissi, yanma ve kaşıntı gibi belirtilerle kendini gösteren bir durumdur. Genellikle çevresel faktörler, yaşlanma veya bazı hastalıklar sonucu ortaya çıkar.",göz hastalıkları
pyelonephritis,578,böbrek iltihabı,"Böbreklerin iltihaplanmasıdır. Genellikle idrar yolu enfeksiyonları sonucu ortaya çıkar ve bel ağrısı, ateş, bulantı ve idrarda kan gibi belirtilerle kendini gösterebilir.",nefroloji
spondylolisthesis,524,spondilolistez,"Omurların normal hizasından kayması durumudur. Genellikle bel ağrısı, bacaklarda uyuşma ve güçsüzlük gibi belirtilerle kendini gösterebilir.",nöroloji
urinary tract obstruction,511,idrar yolu tıkanıklığı,"İdrar yollarında meydana gelen tıkanıklık durumudur. Genellikle böbrek taşları, tümörler veya enfeksiyonlar sonucu ortaya çıkar ve idrar yapmada zorluk, bel ağrısı ve kanlı idrar gibi belirtilerle kendini gösterebilir.",üroloji
neuralgia,503,nöralji,"Sinirlerin iltihaplanması veya hasar görmesi sonucu ortaya çıkan ağrı durumudur. Genellikle yanma, batma veya keskin ağrı gibi belirtilerle kendini gösterebilir.",nöroloji
lipoma,502,lipom,"Yağ dokusunun aşırı büyümesi sonucu oluşan, genellikle zararsız ve iyi huylu tümörlerdir. Genellikle cilt altında yumuşak, hareketli ve ağrısız kitleler olarak kendini gösterir.",dermatoloji
gastritis,501,gastrit,"Mide zarının iltihaplanmasıdır. Genellikle mide ağrısı, bulantı, kusma ve hazımsızlık gibi belirtilerle kendini gösterir.",gastroenteroloji
ganglion cyst,500,ganglion kisti,"Eklem veya tendonların etrafında oluşan, genellikle zararsız ve iyi huylu kistlerden oluşan bir durumdur. Genellikle el bileği, el ve ayaklarda görülür ve ağrısızdır.",ortopedi ve travmatoloji
rheumatoid arthritis,500,romatoid artrit,"Bağışıklık sisteminin eklemlere saldırması sonucu ortaya çıkan iltihaplı bir eklem hastalığıdır. Genellikle eklem ağrısı, şişlik ve sertlik gibi belirtilerle kendini gösterir.",romatoloji
varicocele of the testicles,498,varikosel,"Testislerdeki venlerin genişlemesi sonucu ortaya çıkan bir durumdur. Genellikle ağrı, şişlik ve kısırlık gibi belirtilerle kendini gösterebilir.",üroloji
diverticulosis,498,divertiküloz,"Bağırsak duvarında küçük ceplerin oluşmasıdır. Genellikle belirti vermez, ancak bazı durumlarda karın ağrısı, kabızlık ve kanama gibi belirtilerle kendini gösterebilir.",gastroenteroloji
conjunctivitis due to virus,498,viral konjunktivit,"Gözün beyaz kısmının viral enfeksiyon sonucu iltihaplanmasıdır. Genellikle gözde kızarıklık, sulanma ve kaşıntı gibi belirtilerle kendini gösterir.",göz hastalıkları
corneal disorder,495,kornea bozukluğu,"Gözün ön kısmındaki saydam tabakanın iltihaplanması veya hasar görmesi durumudur. Genellikle gözde kızarıklık, sulanma ve ağrı gibi belirtilerle kendini gösterebilir.",göz hastalıkları
bipolar disorder,495,bipolar bozukluk,"Duygudurum bozukluğu olarak bilinen, mani ve depresyon dönemleriyle karakterize olan bir durumdur. Genellikle aşırı enerji, aşırı mutluluk ve aşırı üzüntü gibi belirtilerle kendini gösterir.",psikiyatri
paroxysmal ventricular tachycardia,494,paroksismal ventriküler taşikardi,"Kalp atışlarının aniden hızlanması durumudur. Genellikle çarpıntı, baş dönmesi ve bayılma gibi belirtilerle kendini gösterebilir.",kardiyoloji
laryngitis,492,larenjit,"Gırtlağın iltihaplanmasıdır. Genellikle ses kısıklığı, boğaz ağrısı ve öksürük gibi belirtilerle kendini gösterir.",kulak burun boğaz
muscle spasm,491,kas spazmı,"Kasların istemsiz kasılması durumudur. Genellikle ağrı, sertlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",fizik tedavi ve rehabilitasyon
chalazion,490,göz kapağı kisti,"Göz kapağındaki yağ bezlerinin tıkanması sonucu oluşan, genellikle ağrısız ve iltihapsız kisttir. Genellikle gözde şişlik ve rahatsızlık hissi gibi belirtilerle kendini gösterir.",göz hastalıkları
oral thrush (yeast infection),486,ağız mantarı,"Ağız içinde mantar enfeksiyonu sonucu ortaya çıkan beyaz lezyonlardır. Genellikle ağrı, yanma ve tat kaybı gibi belirtilerle kendini gösterir.",ağız diş çene cerrahisi
skin disorder,485,cilt hastalığı,"Ciltte meydana gelen çeşitli hastalıklar veya bozukluklardır. Genellikle kaşıntı, kızarıklık, döküntü ve kuruluk gibi belirtilerle kendini gösterebilir.",dermatoloji
tendinitis,483,tendinit,"Tendonların iltihaplanmasıdır. Genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterir.",fizik tedavi ve rehabilitasyon
iron deficiency anemia,483,demir eksikliği anemisi,"Demir eksik
gastroduodenal ulcer,482,mide ve on iki parmak bağırsağı ülseri,"Mide ve on iki parmak bağırsağında meydana gelen yaralardır. Genellikle mide ağrısı, bulantı, kusma ve sindirim sorunları gibi belirtilerle kendini gösterir.",gastroenteroloji
conduct disorder,482,Davranış bozukluğu,"Çocuk ve ergenlerde görülen, sosyal normlara ve kurallara uymama durumu. Genellikle saldırganlık, yıkıcılık ve kural ihlalleri gibi belirtilerle kendini gösterir.",çocuk hastalıkları
fungal infection of the skin,481,cilt mantar enfeksiyonu,"Ciltte mantar enfeksiyonu sonucu ortaya çıkan kaşıntı, kızarıklık ve döküntülerle karakterize olan bir durumdur. Genellikle ayaklarda, kasıklarda ve vücut kıvrımlarında görülür.",dermatoloji
mononeuritis,479,mononörit,"Tek bir sinirin iltihaplanması veya hasar görmesi durumudur. Genellikle ağrı, uyuşma ve güçsüzlük gibi belirtilerle kendini gösterebilir.",nöroloji
fracture of the leg,479,bacak kırığı,"Bacağınızdaki kemiklerden birinde oluşan kırık veya çatlaktır.",ortopedi ve travmatoloji
benign vaginal discharge (leukorrhea),478,vajinal akıntı,"Vajinal akıntının normalden fazla olması durumudur. Genellikle enfeksiyon, hormonal değişiklikler veya irritasyon gibi nedenlerle ortaya çıkar ve kaşıntı, yanma ve kötü koku gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
acute otitis media,476,orta kulak iltihabı,"Orta kulakta meydana gelen ani iltihaplanmadır. Genellikle kulakta ağrı, işitme kaybı ve ateş gibi belirtilerle kendini gösterir.",kulak burun boğaz
diabetic ketoacidosis,476,diyabetik ketoasidoz,"Diyabet hastalığı sonucu vücutta keton cisimlerinin birikmesi durumudur. Genellikle yüksek kan şekeri, aşırı susama, sık idrara çıkma ve karın ağrısı gibi belirtilerle kendini gösterir.",endokrinoloji
fibromyalgia,474,fibromiyalji,"Yaygın kas ve iskelet ağrısı ile karakterize olan bir durumdur. Genellikle yorgunluk, uyku bozuklukları ve zihinsel bulanıklık gibi belirtilerle kendini gösterir.",fizik tedavi ve rehabilitasyon
bell palsy,473,bell paralizi,"Yüz sinirinin iltihaplanması sonucu ortaya çıkan ani yüz felcidir. Genellikle yüzün bir tarafında sarkma, ağrı ve tat kaybı gibi belirtilerle kendini gösterir.",nöroloji
chronic glaucoma,472,kronik glokom,"Göz içi basıncının artması sonucu ortaya çıkan, genellikle görme kaybı ile karakterize olan bir durumdur. Genellikle baş ağrısı, bulanık görme ve gözde ağrı gibi belirtilerle kendini gösterir.",göz hastalıkları
labyrinthitis,470,labirentit,"İç kulaktaki denge organlarının iltihaplanmasıdır. Genellikle baş dönmesi, denge kaybı ve işitme kaybı gibi belirtilerle kendini gösterir.",kulak burun boğaz
ear wax impaction,470,kulak kiri tıkanıklığı,"Kulak kanalında biriken kulak kiri sonucu ortaya çıkan tıkanıklık durumudur. Genellikle işitme kaybı, kulakta ağrı ve kaşıntı gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
flu,467,grip,"Üst solunum yollarında viral enfeksiyon sonucu ortaya çıkan bir durumdur. Genellikle ateş, baş ağrısı, kas ağrıları ve boğaz ağrısı gibi belirtilerle kendini gösterir.",kulak burun boğaz
chronic pain disorder,467,kronik ağrı bozukluğu,"Uzun süreli ve sürekli ağrı durumudur. Genellikle baş ağrısı, bel ağrısı ve eklem ağrıları gibi belirtilerle kendini gösterir.",fizik tedavi ve rehabilitasyon
sensorineural hearing loss,466,sinirsel işitme kaybı,"İç kulaktaki sinirlerin hasar görmesi sonucu ortaya çıkan işitme kaybıdır. Genellikle yaşlanma, gürültüye maruz kalma veya enfeksiyonlar sonucu ortaya çıkar ve işitme zorluğu, kulakta çınlama gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
impetigo,464,impetigo,"Ciltte bakteriyel enfeksiyon sonucu ortaya çıkan, genellikle kabuklu yaralarla karakterize olan bir durumdur. Genellikle yüz, eller ve bacaklarda görülür ve kaşıntı, kızarıklık ve ağrı gibi belirtilerle kendini gösterebilir.",dermatoloji
tooth disorder,464,diş hastalığı,"Dişlerde meydana gelen çeşitli hastalıklar veya bozukluklardır. Genellikle diş ağrısı, hassasiyet, çürük ve diş eti kanaması gibi belirtilerle kendini gösterebilir.",ağız diş çene cerrahisi
chronic sinusitis,464,kronik sinüzit,"Sinüslerin uzun süreli iltihaplanmasıdır. Genellikle burun tıkanıklığı, baş ağrısı, yüz ağrısı ve kötü koku gibi belirtilerle kendini gösterir.",kulak burun boğaz
insect bite,460,böcek ısırığı,"Böceklerin ısırması sonucu ortaya çıkan, genellikle kaşıntı, kızarıklık ve şişlik gibi belirtilerle kendini gösteren bir durumdur. Bazı durumlarda alerjik reaksiyonlar veya enfeksiyonlar da gelişebilir.",dermatoloji
stroke,459,inme,"Beyne giden kan akışının aniden kesilmesi sonucu ortaya çıkan bir durumdur. Genellikle ani baş dönmesi, konuşma bozukluğu, yüz ve kol felci gibi belirtilerle kendini gösterir.",nöroloji
hyperkalemia,458,hiperkalemi,"Kanda potasyum seviyesinin normalden yüksek olması durumudur. Genellikle kas zayıflığı, kalp ritim bozuklukları ve yorgunluk gibi belirtilerle kendini gösterebilir.",dahiliye
chronic otitis media,457,kronik orta kulak iltihabı,"Orta kulakta uzun süreli iltihaplanmadır. Genellikle işitme kaybı, kulakta ağrı ve akıntı gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
tooth abscess,454,diş apsesi,"Diş kökünde meydana gelen enfeksiyon sonucu oluşan, genellikle ağrı, şişlik ve ateş gibi belirtilerle kendini gösteren bir durumdur. Genellikle diş çürüğü veya diş eti hastalıkları sonucu ortaya çıkar.",ağız diş çene cerrahisi
rosacea,450,rosasea,"Yüzde kızarıklık, şişlik ve sivilce benzeri lezyonlarla karakterize olan bir cilt hastalığıdır. Genellikle burun, yanaklar ve alın gibi bölgelerde görülür.",dermatoloji
drug abuse (opioids),449,ilaç bağımlılığı,"Opioid ilaçların aşırı kullanımı sonucu ortaya çıkan bağımlılık durumudur. Genellikle ağrı kesici ilaçlar, morfin ve eroin gibi maddeleri içerir ve yoksunluk belirtileri, aşırı uyku hali ve iştah kaybı gibi belirtilerle kendini gösterebilir.",psikiyatri
transient ischemic attack,445,mini inme,"Beyne giden kan akışının geçici olarak kesilmesi sonucu ortaya çıkan bir durumdur. Genellikle ani baş dönmesi, konuşma bozukluğu ve yüz felci gibi belirtilerle kendini gösterir.",nöroloji
prostatitis,444,prostatit,"Prostat bezinin iltihaplanmasıdır. Genellikle idrar yapmada zorluk, ağrı ve ateş gibi belirtilerle kendini gösterebilir.",üroloji
delirium,441,deliryum,"Ani ve geçici zihinsel durum değişiklikleriyle karakterize olan bir durumdur. Genellikle kafa karışıklığı, dikkat dağınıklığı ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",psikiyatri
skin cancer,441,cilt kanseri,"Ciltte meydana gelen, genellikle anormal hücre büyümesi sonucu oluşan kanser türüdür. Genellikle ciltteki benlerde değişiklikler, yaraların iyileşmemesi ve kaşıntı gibi belirtilerle kendini gösterebilir.",dermatoloji
post-traumatic stress disorder (ptsd),439,travma sonrası stres bozukluğu,"Travmatik bir olay sonrası ortaya çıkan, anksiyete, kabuslar ve geri dönüşler gibi belirtilerle karakterize olan bir durumdur. Genellikle savaş, kaza veya cinsel saldırı gibi olaylar sonrası gelişir.",psikiyatri
sciatica,436,siyatik,"Belden başlayarak bacaklara yayılan ağrı durumudur. Genellikle bel fıtığı, sinir sıkışması veya kas spazmı gibi nedenlerle ortaya çıkar ve bacaklarda uyuşma, güçsüzlük ve yanma hissi gibi belirtilerle kendini gösterebilir.",nöroloji
alcohol withdrawal,435,alkol yoksunluğu,"Alkol bağımlılığı olan bireylerde alkol alımının aniden kesilmesi sonucu ortaya çıkan belirtilerle karakterize olan bir durumdur. Genellikle titreme, terleme, anksiyete ve huzursuzluk gibi belirtilerle kendini gösterebilir.",psikiyatri
hemangioma,435,hemanjiyoma,"Kan damarlarının aşırı büyümesi sonucu oluşan, genellikle doğuştan gelen ve zararsız olan tümörlerdir. Genellikle ciltte kırmızı veya mor lekeler olarak kendini gösterir.",dermatoloji
intracerebral hemorrhage,434,intrakraniyal kanama,"Beyin içindeki kan damarlarının yırtılması sonucu meydana gelen kanamadır. Genellikle baş ağrısı, bilinç kaybı ve nörolojik belirtilerle kendini gösterebilir.",nöroloji
erectile dysfunction,426,erektil disfonksiyon,"Erkeklerde cinsel ilişki sırasında yeterli sertleşme sağlayamama durumudur. Genellikle psikolojik faktörler, hormonal dengesizlikler veya damar hastalıkları gibi nedenlerle ortaya çıkar.",üroloji
ingrown toe nail,423,tırnak batması,"Tırnağın, tırnak yatağına doğru büyümesi sonucu ortaya çıkan, genellikle ağrı, kızarıklık ve şişlik gibi belirtilerle kendini gösteren bir durumdur. Genellikle ayak başparmağında görülür.",dermatoloji
cataract,422,katarakt,"Göz merceğinin saydamlığını kaybetmesi sonucu meydana gelen, genellikle bulanık görme, gece görüşünde zorluk ve renklerin soluklaşması gibi belirtilerle kendini gösteren bir durumdur.",göz hastalıkları
pleural effusion,420,plevral efüzyon,"Göğüs boşluğunda sıvı birikmesi durumudur. Genellikle nefes darlığı, göğüs ağrısı ve öksürük gibi belirtilerle kendini gösterebilir.",göğüs hastalıkları
deviated nasal septum,419,burun septum deviasyonu,"Burun içinde bulunan septumun normalden sapması durumudur. Genellikle burun tıkanıklığı, baş ağrısı ve sinüzit gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
ankylosing spondylitis,417,ankilozan spondilit,"Omurganın iltihaplanması sonucu ortaya çıkan, genellikle bel ve sırt ağrısı, sertlik ve hareket kısıtlılığı gibi belirtilerle kendini gösteren bir durumdur.",romatoloji
oral mucosal lesion,412,ağız mukozası lezyonu,"Ağız içindeki dokuların iltihaplanması veya hasar görmesi durumudur. Genellikle ağrı, yanma ve şişlik gibi belirtilerle kendini gösterebilir.",ağız diş çene cerrahisi
heart block,412,kalp bloğu,"Kalp atışlarının normalden daha yavaş veya düzensiz olması durumudur. Genellikle baş dönmesi, bayılma ve göğüs ağrısı gibi belirtilerle kendini gösterebilir.",kardiyoloji
conductive hearing loss,407,iletken işitme kaybı,"Kulak zarının veya orta kulaktaki yapılarının hasar görmesi sonucu ortaya çıkan işitme kaybıdır. Genellikle kulakta tıkanıklık, ağrı ve işitme zorluğu gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
vaginal yeast infection,405,vajinal mantar enfeksiyonu,"Vajinal bölgede mantar enfeksiyonu sonucu ortaya çıkan, genellikle kaşıntı, yanma ve beyaz akıntı gibi belirtilerle kendini gösteren bir durumdur. Genellikle kandida mantarları tarafından neden olur.",kadın hastalıkları ve doğum
viral exanthem,399,viral döküntü,"Viral enfeksiyonlar sonucu ciltte meydana gelen döküntülerdir. Genellikle kızarıklık, kaşıntı ve kabarcıklarla karakterize olan bir durumdur.",dermatoloji
drug abuse,390,ilaç bağımlılığı,"İlaçların aşırı kullanımı sonucu ortaya çıkan bağımlılık durumudur. Genellikle ağrı kesici ilaçlar, antidepresanlar ve diğer ilaçları içerir ve yoksunluk belirtileri, aşırı uyku hali ve iştah kaybı gibi belirtilerle kendini gösterebilir.",psikiyatri
alcohol abuse,382,alkol bağımlılığı,"Alkolün aşırı kullanımı sonucu ortaya çıkan bağımlılık durumudur. Genellikle alkol yoksunluğu, aşırı sarhoşluk ve sosyal sorunlarla kendini gösterebilir.",psikiyatri
white blood cell disease,382,beyaz kan hücresi hastalığı,"Beyaz kan hücrelerinin normalden fazla veya az olması durumudur. Genellikle enfeksiyon, kanser veya bağışıklık sistemi bozuklukları ile ilişkilidir ve ateş, halsizlik ve enfeksiyon belirtileri gibi belirtilerle kendini gösterebilir.",dahiliye
molluscum contagiosum,382,mollusca contagiosa,"Ciltte viral enfeksiyon sonucu oluşan, genellikle kabarık ve ağrısız lezyonlardır. Genellikle çocuklarda görülür ve kaşıntı yapabilir.",dermatoloji
onychomycosis,379,tırnak mantarı,"Tırnaklarda mantar enfeksiyonu sonucu ortaya çıkan, genellikle tırnak kalınlaşması, renk değişikliği ve kırılma gibi belirtilerle kendini gösteren bir durumdur.",dermatoloji
social phobia,375,sosyal fobi,"Sosyal durumlarda aşırı korku ve kaygı ile karakterize olan bir durumdur. Genellikle başkalarının yargılanma korkusu, titreme ve terleme gibi belirtilerle kendini gösterebilir.",psikiyatri
mitral valve disease,373,mitral kapak hastalığı,"Kalp kapaklarının normalden farklı çalışması durumudur. Genellikle nefes darlığı, çarpıntı ve göğüs ağrısı gibi belirtilerle kendini gösterebilir.",kardiyoloji
eating disorder,372,yeme bozukluğu,"Yeme alışkanlıklarının anormal hale gelmesi durumudur. Genellikle aşırı kilo kaybı, aşırı yeme ve vücut imajı bozuklukları gibi belirtilerle kendini gösterebilir.",psikiyatri
urge incontinence,371,idrar kaçırma,"Ani ve kontrolsüz idrar kaçırma durumudur. Genellikle idrar yolu enfeksiyonları, mesane aşırı aktivitesi veya sinir hasarı gibi nedenlerle ortaya çıkar.",üroloji
callus,368,nasır,"Ciltte aşırı sürtünme veya basınç sonucu oluşan kalınlaşmış bölgelerdir. Genellikle ayaklarda, ellerde ve parmaklarda görülür ve ağrı, yanma hissi gibi belirtilerle kendini gösterebilir.",dermatoloji
injury to the shoulder,368,omuz yaralanması,"Omuz bölgesinde meydana gelen yaralanmalardır. Genellikle düşme, spor yaralanmaları veya aşırı kullanım sonucu ortaya çıkar ve ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
parkinson disease,360,parkinson,"Beyinde dopamin üreten hücrelerin hasar görmesi sonucu ortaya çıkan, genellikle titreme, kas sertliği ve hareket yavaşlığı gibi belirtilerle kendini gösteren bir durumdur.",nöroloji
lymphedema,358,lenfödem,"Lenf sıvısının birikmesi sonucu ortaya çıkan, genellikle bacaklarda, kollar ve yüz gibi bölgelerde şişlik ile karakterize olan bir durumdur.",dahiliye 
itching of unknown cause,354,kaşıntı,"Bilinmeyen bir nedenden dolayı ciltte kaşıntı hissi oluşması durumudur. Genellikle alerjik reaksiyonlar, cilt kuruluğu veya stres gibi faktörlerle ilişkilendirilebilir.",dermatoloji
glaucoma,354,glokom,"Göz içi basıncının artması sonucu ortaya çıkan, genellikle görme kaybı ile karakterize olan bir durumdur. Genellikle baş ağrısı, bulanık görme ve gözde ağrı gibi belirtilerle kendini gösterir.",göz hastalıkları
iridocyclitis,354,iritokiklitis,"Gözün iris ve silier cisimlerinin iltihaplanmasıdır. Genellikle gözde ağrı, kızarıklık ve ışığa hassasiyet gibi belirtilerle kendini gösterebilir.",göz hastalıkları
sialoadenitis,351,sialoadenit,"Tükürük bezlerinin iltihaplanmasıdır. Genellikle ağızda kuruluk, şişlik ve ağrı gibi belirtilerle kendini gösterebilir.",ağız diş çene cerrahisi
adjustment reaction,351,uyum bozukluğu,"Bireyin yaşamında meydana gelen değişikliklere uyum sağlamakta zorlanması durumudur. Genellikle stres, kaygı ve depresyon gibi belirtilerle kendini gösterebilir.",psikiyatri
ovarian cyst,351,yumurtalık kisti,"Yumurtalıklarda meydana gelen sıvı dolu keseciklerdir. Genellikle ağrı, adet düzensizlikleri ve kısırlık gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
hypokalemia,350,hipokalemi,"Kanda potasyum seviyesinin normalden düşük olması durumudur. Genellikle kas zayıflığı, yorgunluk ve kalp ritim bozuklukları gibi belirtilerle kendini gösterebilir.",dahiliye
acute respiratory distress syndrome (ards),349,akut solunum sıkıntısı sendromu,"Ağır solunum yetmezliği ile karakterize olan bir durumdur. Genellikle yoğun bakım gerektiren, akciğerlerde sıvı birikimi ve oksijen yetersizliği ile kendini gösterir.",göğüs hastalıkları
breast infection (mastitis),348,memede enfeksiyon,"Meme dokusunun iltihaplanmasıdır. Genellikle emziren kadınlarda görülür ve meme ağrısı, kızarıklık ve ateş gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
hyponatremia,348,hiponatremi,"Kanda sodyum seviyesinin normalden düşük olması durumudur. Genellikle baş ağrısı, bulantı, kusma ve kas krampları gibi belirtilerle kendini gösterebilir.",dahiliye
pulmonary congestion,347,pulmoner konjesyon,"Akciğerlerde sıvı birikmesi durumudur. Genellikle nefes darlığı, öksürük ve göğüs ağrısı gibi belirtilerle kendini gösterebilir.",göğüs hastalıkları
hemiplegia,345,hemipleji,"Beyin hasarı sonucu vücudun bir tarafında meydana gelen felç durumudur. Genellikle kas zayıflığı, hareket kaybı ve denge sorunları gibi belirtilerle kendini gösterebilir.",nöroloji
epididymitis,345,epididimit,"Testislerin arkasında bulunan epididim adı verilen yapının iltihaplanmasıdır. Genellikle ağrı, şişlik ve ateş gibi belirtilerle kendini gösterebilir.",üroloji
corneal abrasion,344,kornea sıyrığı,"Gözün ön yüzeyindeki korneanın hasar görmesi durumudur. Genellikle ağrı, sulanma ve ışığa hassasiyet gibi belirtilerle kendini gösterebilir.",göz hastalıkları
eye alignment disorder,343,göz hizalama bozukluğu,"Gözlerin normalden farklı hizalanması durumudur. Genellikle çift görme, baş ağrısı ve göz yorgunluğu gibi belirtilerle kendini gösterebilir.",göz hastalıkları
injury to the face,340,yüz yaralanması,"Yüz bölgesinde meydana gelen yaralanmalardır. Genellikle düşme, darbe veya kesik sonucu ortaya çıkar ve ağrı, şişlik ve morarma gibi belirtilerle kendini gösterebilir.",plastik cerrahi
acne,340,akne,"Ciltteki yağ bezlerinin iltihaplanması sonucu meydana gelen, genellikle sivilce, siyah nokta ve kızarıklık gibi belirtilerle kendini gösteren bir durumdur. Genellikle ergenlik döneminde görülür.",dermatoloji
lymphadenitis,339,lenfadenit,"Lenf bezlerinin iltihaplanmasıdır. Genellikle enfeksiyonlar sonucu ortaya çıkar ve şişlik, ağrı ve ateş gibi belirtilerle kendini gösterebilir.",dahiliye
irritable bowel syndrome,337,irritabl bağırsak sendromu,"Bağırsakların normalden farklı çalışması sonucu ortaya çıkan, genellikle karın ağrısı, şişkinlik ve ishal veya kabızlık gibi belirtilerle kendini gösteren bir durumdur.",gastroenteroloji
interstitial lung disease,336,interstisyel akciğer hastalığı,"Akciğer dokusunun iltihaplanması veya hasar görmesi sonucu ortaya çıkan, genellikle nefes darlığı, öksürük ve yorgunluk gibi belirtilerle kendini gösteren bir durumdur.",göğüs hastalıkları
idiopathic absence of menstruation,335,amenore,"Adet döngüsünün normalden daha uzun süreli olmaması durumudur. Genellikle hormonal dengesizlikler, stres veya aşırı kilo kaybı gibi nedenlerle ortaya çıkar.",kadın hastalıkları ve doğum
myopia,333,miyop,"Gözdeki ışığın normalden daha fazla odaklanması sonucu ortaya çıkan, genellikle uzak görme zorluğu ile karakterize olan bir durumdur.",göz hastalıkları
obsessive compulsive disorder (ocd),332,obsesif kompulsif bozukluk,"Zihinsel bir durumdur. Genellikle tekrarlayan düşünceler (obsesyonlar) ve davranışlar (kompulsiyonlar) ile karakterize edilir ve bireyin günlük yaşamını olumsuz etkileyebilir.",psikiyatri
dysthymic disorder,332,distimi,"Uzun süreli ve hafif depresyon durumudur. Genellikle düşük enerji, umutsuzluk ve sosyal çekilme gibi belirtilerle kendini gösterebilir.",psikiyatri
postpartum depression,329,doğum sonrası depresyon,"Doğum sonrası dönemde ortaya çıkan, genellikle anksiyete, üzüntü ve yetersizlik hissi gibi belirtilerle kendini gösteren bir durumdur.",kadın hastalıkları ve doğum
viral warts,327,viral siğil,"Viral enfeksiyonlar sonucu ciltte meydana gelen, genellikle kabarık ve ağrısız lezyonlardır. Genellikle HPV virüsü ile ilişkilidir ve ciltte kaşıntı yapabilir.",dermatoloji
diabetic retinopathy,327,diabetik retinopati,"Diyabet hastalarında göz damarlarının hasar görmesi sonucu ortaya çıkan, genellikle görme kaybı ile karakterize olan bir durumdur.",göz hastalıkları
fracture of the facial bones,326,fasiyal kemik kırığı,"Yüz kemiklerinde meydana gelen kırık veya çatlaklardır. Genellikle travma, kazalar veya darbe sonucu ortaya çıkar ve ağrı, şişlik ve morarma gibi belirtilerle kendini gösterebilir.",plastik cerrahi
yeast infection,325,maya enfeksiyonu,"Vajinal bölgede mantar enfeksiyonu sonucu ortaya çıkan, genellikle kaşıntı, yanma ve beyaz akıntı gibi belirtilerle kendini gösteren bir durumdur. Genellikle kandida mantarları tarafından neden olur.",kadın hastalıkları ve doğum
attention deficit hyperactivity disorder (adhd),324,dikkat eksikliği hiperaktivite bozukluğu,"Dikkat eksikliği, hiperaktivite ve dürtüsellik ile karakterize olan bir durumdur. Genellikle çocukluk döneminde başlar ve okul başarısını olumsuz etkileyebilir.",psikiyatri
teething syndrome,324,diş çıkarma sendromu,"Çocuklarda dişlerin çıkması sırasında meydana gelen, genellikle ağrı, huzursuzluk ve ateş gibi belirtilerle kendini gösteren bir durumdur.",pediatri
uterine fibroids,321,rahim myomu,"Rahim içinde meydana gelen, genellikle iyi huylu tümörlerdir. Genellikle adet düzensizlikleri, ağrı ve kısırlık gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
tonsillitis,317,tonsillit,"Bademciklerin iltihaplanmasıdır. Genellikle boğaz ağrısı, yutma zorluğu ve ateş gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
herpangina,316,herpangina,"Ağız içinde meydana gelen viral enfeksiyon sonucu oluşan, genellikle boğaz ağrısı, ateş ve ağız yaraları gibi belirtilerle kendini gösteren bir durumdur.",pediatri
indigestion,314,hazımsızlık,"Sindirim sisteminin normalden farklı çalışması sonucu ortaya çıkan, genellikle karın ağrısı, şişkinlik ve gaz gibi belirtilerle kendini gösteren bir durumdur.",gastroenteroloji
pulmonary hypertension,313,hipertansiyon,"Akciğerlerdeki kan damarlarının daralması sonucu ortaya çıkan, genellikle nefes darlığı, yorgunluk ve göğüs ağrısı gibi belirtilerle kendini gösterebilir.",göğüs hastalıkları
atrophic skin condition,313,atrofik cilt durumu,"Ciltteki dokuların incelmesi veya hasar görmesi durumudur. Genellikle yaşlanma, güneş hasarı veya bazı hastalıklarla ilişkilidir ve ciltte kuruluk, kaşıntı ve kırışıklık gibi belirtilerle kendini gösterebilir.",dermatoloji
benign paroxysmal positional vertical (bppv),313,kristal oynaması,"İç kulakta bulunan denge organlarının anormal hareketi sonucu ortaya çıkan, genellikle baş dönmesi ve denge kaybı ile karakterize olan bir durumdur.",nöroloji
intestinal obstruction,313,bağırsak tıkanıklığı,"Bağırsakların normalden farklı çalışması sonucu ortaya çıkan, genellikle karın ağrısı, şişkinlik ve kusma gibi belirtilerle kendini gösteren bir durumdur.",gastroenteroloji
balanitis,312,balanitis,"Penisinin iltihaplanmasıdır.",üroloji
